Genus;Epithet;Author;Whole
Allomarkgrafia;laxiflora;A.H.Gentry        ;Allomarkgrafia laxiflora A.H.Gentry        
Allomarkgrafia;ovalis;(Ruiz & Pav. ex Markgr.) Woodson   ;Allomarkgrafia ovalis (Ruiz & Pav. ex Markgr.) Woodson   
Allomarkgrafia;tubiflora;Woodson ex Dwyer      ;Allomarkgrafia tubiflora Woodson ex Dwyer      
Anechites;nerium;(Aubl.) Urb.       ;Anechites nerium (Aubl.) Urb.       
Angadenia;berteroi;(A.DC.) Miers       ;Angadenia berteroi (A.DC.) Miers       
Angadenia;lindeniana;(Müll.Arg.) Miers       ;Angadenia lindeniana (Müll.Arg.) Miers       
Araujia;angustifolia;(Hook. & Arn.) Steud.     ;Araujia angustifolia (Hook. & Arn.) Steud.     
Araujia;brachystephana;(Griseb.) Fontella & Goyder     ;Araujia brachystephana (Griseb.) Fontella & Goyder     
Araujia;herzogii;(Schltr.) Fontella & Goyder     ;Araujia herzogii (Schltr.) Fontella & Goyder     
Araujia;sericifera;Brot.        ;Araujia sericifera Brot.        
Araujia;megapotamica;(Spreng.) G.Don       ;Araujia megapotamica (Spreng.) G.Don       
Araujia;odorata;(Hook. & Arn.) Fontella & Goyder   ;Araujia odorata (Hook. & Arn.) Fontella & Goyder   
Araujia;plumosa;Schltr.        ;Araujia plumosa Schltr.        
Araujia;stormiana;Morong        ;Araujia stormiana Morong        
Araujia;stuckertiana;(Kurtz ex Heger) Fontella & Goyder   ;Araujia stuckertiana (Kurtz ex Heger) Fontella & Goyder   
Araujia;variegata;(Griseb.) Fontella & Goyder     ;Araujia variegata (Griseb.) Fontella & Goyder     
Asketanthera;calycosa;(A.Rich.) Woodson       ;Asketanthera calycosa (A.Rich.) Woodson       
Asketanthera;dolichopetala;(Urb.) Woodson       ;Asketanthera dolichopetala (Urb.) Woodson       
Asketanthera;longiflora;Woodson        ;Asketanthera longiflora Woodson        
Asketanthera;obtusifolia;Alain        ;Asketanthera obtusifolia Alain        
