"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"70","Machaerium jobimianum C.V.Mendonça & A.M.G.Azevedo","5","5.694364","0.004298","0.001922","7e-06","Machaerium jobimianum C.V.Mendonça & A.M.G.Azevedo","5","7.071206","0.246781","0.110364","0.023348","Machaerium jobimianum C.V.Mendonça & A.M.G.Azevedo","5","7.217725","0.047482","0.021235","0.002167","Machaerium jobimianum C.V.Mendonça & A.M.G.Azevedo","5","9.121949","0.154577","0.069129","0.024337"
"71","Machaerium latifolium Rusby","13","5.693102","0.01821","0.005051","3e-06","Machaerium latifolium Rusby","13","7.183633","0.655738","0.181869","0.00898","Machaerium latifolium Rusby","13","7.349051","0.083371","0.023123","0.000833","Machaerium latifolium Rusby","13","9.102865","0.608301","0.168712","0.00936"
"72","Machaerium lindenianum Benth.","1","5.6666",NA,NA,"3.6e-05","Machaerium lindenianum Benth.","1","7.390181",NA,NA,"0.116739","Machaerium lindenianum Benth.","1","7.276556",NA,NA,"0.010833","Machaerium lindenianum Benth.","1","9.510075",NA,NA,"0.121683"
"73","Machaerium macrophyllum Benth.","26","5.694982","0.006163","0.001209","1e-06","Machaerium macrophyllum Benth.","26","7.883533","0.281072","0.055123","0.00449","Machaerium macrophyllum Benth.","26","7.278047","0.10652","0.02089","0.000417","Machaerium macrophyllum Benth.","26","9.780687","0.267622","0.052485","0.00468"
"74","Machaerium madeirense Pittier","41","5.697091","0.003678","0.000574","1e-06","Machaerium madeirense Pittier","41","7.876808","0.244849","0.038239","0.002847","Machaerium madeirense Pittier","41","7.254512","0.0985","0.015383","0.000264","Machaerium madeirense Pittier","41","9.781217","0.237888","0.037152","0.002968"
"75","Machaerium milleflorum Pittier","6","5.702054","0.003268","0.001334","6e-06","Machaerium milleflorum Pittier","6","7.698916","0.355279","0.145042","0.019457","Machaerium milleflorum Pittier","6","7.481153","0.095337","0.038921","0.001805","Machaerium milleflorum Pittier","6","9.333424","0.629706","0.257076","0.020281"
"76","Machaerium moritzianum Benth.","4","5.690568","0.010891","0.005445","9e-06","Machaerium moritzianum Benth.","4","7.647467","0.254371","0.127186","0.029185","Machaerium moritzianum Benth.","4","7.354489","0.022706","0.011353","0.002708","Machaerium moritzianum Benth.","4","9.615343","0.126975","0.063488","0.030421"
"77","Machaerium multifoliolatum Ducke","22","5.69565","0.004317","0.00092","2e-06","Machaerium multifoliolatum Ducke","22","7.693118","0.358468","0.076426","0.005306","Machaerium multifoliolatum Ducke","22","7.199116","0.092438","0.019708","0.000492","Machaerium multifoliolatum Ducke","22","9.710228","0.289786","0.061783","0.005531"
"78","Machaerium mutisii Killip ex Rudd","14","5.693668","0.005899","0.001577","3e-06","Machaerium mutisii Killip ex Rudd","14","7.978315","0.378036","0.101034","0.008339","Machaerium mutisii Killip ex Rudd","14","7.147035","0.100058","0.026742","0.000774","Machaerium mutisii Killip ex Rudd","14","9.934647","0.397267","0.106174","0.008692"
"79","Machaerium myrianthum Spruce ex Benth.","21","5.694829","0.006007","0.001311","2e-06","Machaerium myrianthum Spruce ex Benth.","21","7.760391","0.302794","0.066075","0.005559","Machaerium myrianthum Spruce ex Benth.","21","7.24862","0.101074","0.022056","0.000516","Machaerium myrianthum Spruce ex Benth.","21","9.729826","0.296938","0.064797","0.005794"
