"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"57","Machaerium cuspidatum Kuhlm. & Hoehne","22","24.204545","1.422432","0.303264","0.141281","Machaerium cuspidatum Kuhlm. & Hoehne","22","3092.545455","909.388163","193.882208","24656.642063","Machaerium cuspidatum Kuhlm. & Hoehne","22","1292.090909","114.044648","24.314401","1077.710571","Machaerium cuspidatum Kuhlm. & Hoehne","22","22589.909091","6428.052707","1370.465442","1156508.95697"
"58","Machaerium duckeanum Hoehne","3","26.233333","1.601041","0.924361","1.036064","Machaerium duckeanum Hoehne","3","1924","411.430432","237.539471","180815.375131","Machaerium duckeanum Hoehne","3","1459.333333","142.170086","82.081937","7903.210855","Machaerium duckeanum Hoehne","3","13998.333333","2290.604796","1322.481296","8481065.684447"
"59","Machaerium eliasii Rudd","1","27.4",NA,NA,"3.108191","Machaerium eliasii Rudd","1","1066",NA,NA,"542446.125393","Machaerium eliasii Rudd","1","1945",NA,NA,"23709.632564","Machaerium eliasii Rudd","1","4446",NA,NA,"25443197.05334"
"60","Machaerium falciforme Rudd","9","26.244444","0.439065","0.146355","0.345355","Machaerium falciforme Rudd","9","1718.111111","450.190361","150.063454","60271.79171","Machaerium falciforme Rudd","9","1894.777778","152.936897","50.978966","2634.403618","Machaerium falciforme Rudd","9","9831.777778","3742.598922","1247.532974","2827021.894816"
"61","Machaerium froesii Rudd","8","26.1625","0.50409","0.178223","0.388524","Machaerium froesii Rudd","8","2284.5","347.933081","123.01292","67805.765674","Machaerium froesii Rudd","8","1421.5","45.900514","16.228282","2963.704071","Machaerium froesii Rudd","8","16176.375","1707.237613","603.599647","3180399.631668"
"62","Machaerium glabratum Pittier","4","23","4.424929","2.212464","0.777048","Machaerium glabratum Pittier","4","2568.75","971.157514","485.578757","135611.531348","Machaerium glabratum Pittier","4","1570","69.007246","34.503623","5927.408141","Machaerium glabratum Pittier","4","15582.75","2534.721467","1267.360733","6360799.263335"
"63","Machaerium glabrum Vogel","3","22.933333","1.750238","1.0105","1.036064","Machaerium glabrum Vogel","3","1371","191.627242","110.63604","180815.375131","Machaerium glabrum Vogel","3","1314","35.79106","20.663978","7903.210855","Machaerium glabrum Vogel","3","9595.333333","930.381284","537.155885","8481065.684447"
"64","Machaerium gracile Benth.","4","22.025","1.007886","0.503943","0.777048","Machaerium gracile Benth.","4","1103.25","155.016935","77.508468","135611.531348","Machaerium gracile Benth.","4","1323.5","105.610921","52.805461","5927.408141","Machaerium gracile Benth.","4","8743.75","2559.047528","1279.523764","6360799.263335"
"65","Machaerium guanaiense Rusby ex Rudd","2","23.65","0.494975","0.35","1.554095","Machaerium guanaiense Rusby ex Rudd","2","1737.5","1078.337841","762.5","271223.062696","Machaerium guanaiense Rusby ex Rudd","2","1473","172.534055","122","11854.816282","Machaerium guanaiense Rusby ex Rudd","2","13000.5","4291.431055","3034.5","12721598.52667"
"66","Machaerium guaremalense Pittier","1","25.7",NA,NA,"3.108191","Machaerium guaremalense Pittier","1","1313",NA,NA,"542446.125393","Machaerium guaremalense Pittier","1","1815",NA,NA,"23709.632564","Machaerium guaremalense Pittier","1","7087",NA,NA,"25443197.05334"
"67","Machaerium hoehneanum Ducke","2","26.1","0.141421","0.1","1.554095","Machaerium hoehneanum Ducke","2","2449.5","45.961941","32.5","271223.062696","Machaerium hoehneanum Ducke","2","1317","12.727922","9","11854.816282","Machaerium hoehneanum Ducke","2","18124.5","1054.296211","745.5","12721598.52667"
"68","Machaerium huanucoense Rudd","2","25.2","0.141421","0.1","1.554095","Machaerium huanucoense Rudd","2","2779","1091.77287","772","271223.062696","Machaerium huanucoense Rudd","2","1256","161.220346","114","11854.816282","Machaerium huanucoense Rudd","2","22200","4258.197036","3011","12721598.52667"
"69","Machaerium humboldtianum Vogel","8","24.6125","4.26897","1.509309","0.388524","Machaerium humboldtianum Vogel","8","1278.875","549.447628","194.259072","67805.765674","Machaerium humboldtianum Vogel","8","1770.75","270.974828","95.804069","2963.704071","Machaerium humboldtianum Vogel","8","7121.625","2619.561519","926.154857","3180399.631668"
"70","Machaerium jobimianum C.V.Mendonça & A.M.G.Azevedo","5","24.04","1.27397","0.569737","0.621638","Machaerium jobimianum C.V.Mendonça & A.M.G.Azevedo","5","1208","319.811663","143.024124","108489.225079","Machaerium jobimianum C.V.Mendonça & A.M.G.Azevedo","5","1364.6","63.708712","28.491402","4741.926513","Machaerium jobimianum C.V.Mendonça & A.M.G.Azevedo","5","9240","1383.496838","618.718595","5088639.410668"
"71","Machaerium latifolium Rusby","13","23.707692","5.266001","1.460526","0.239092","Machaerium latifolium Rusby","13","1536.538462","792.991237","219.936197","41726.62503","Machaerium latifolium Rusby","13","1559.769231","132.180529","36.660283","1823.81789","Machaerium latifolium Rusby","13","10409.307692","5646.041333","1565.930118","1957169.004103"
"72","Machaerium lindenianum Benth.","1","15.9",NA,NA,"3.108191","Machaerium lindenianum Benth.","1","1620",NA,NA,"542446.125393","Machaerium lindenianum Benth.","1","1446",NA,NA,"23709.632564","Machaerium lindenianum Benth.","1","13495",NA,NA,"25443197.05334"
"73","Machaerium macrophyllum Benth.","26","24.226923","1.823306","0.35758","0.119546","Machaerium macrophyllum Benth.","26","2755.807692","786.049618","154.157013","20863.312515","Machaerium macrophyllum Benth.","26","1456","152.924818","29.991024","911.908945","Machaerium macrophyllum Benth.","26","18282.961538","4620.60625","906.17544","978584.502052"
"74","Machaerium madeirense Pittier","41","24.85122","1.092731","0.170656","0.07581","Machaerium madeirense Pittier","41","2711.243902","637.912093","99.625131","13230.393302","Machaerium madeirense Pittier","41","1421.195122","140.524592","21.946254","578.283721","Machaerium madeirense Pittier","41","18182.219512","4202.466779","656.315046","620565.781789"
"75","Machaerium milleflorum Pittier","6","26.333333","0.97707","0.398887","0.518032","Machaerium milleflorum Pittier","6","2318.666667","762.348389","311.227427","90407.687565","Machaerium milleflorum Pittier","6","1781.166667","175.464431","71.633054","3951.605427","Machaerium milleflorum Pittier","6","12970.333333","6210.327903","2535.35575","4240532.842223"
"76","Machaerium moritzianum Benth.","4","22.925","3.226324","1.613162","0.777048","Machaerium moritzianum Benth.","4","2143.25","490.120648","245.060324","135611.531348","Machaerium moritzianum Benth.","4","1563.5","35.529331","17.764666","5927.408141","Machaerium moritzianum Benth.","4","15083.5","1899.340324","949.670162","6360799.263335"
"77","Machaerium multifoliolatum Ducke","22","24.422727","1.282086","0.273342","0.141281","Machaerium multifoliolatum Ducke","22","2312.227273","681.546486","145.306199","24656.642063","Machaerium multifoliolatum Ducke","22","1343.727273","124.672211","26.580205","1077.710571","Machaerium multifoliolatum Ducke","22","17125.681818","4632.282882","987.606029","1156508.95697"
"78","Machaerium mutisii Killip ex Rudd","14","23.835714","1.74162","0.465468","0.222014","Machaerium mutisii Killip ex Rudd","14","3103.928571","1070.630114","286.137934","38746.151814","Machaerium mutisii Killip ex Rudd","14","1276.357143","131.217733","35.069414","1693.545183","Machaerium mutisii Killip ex Rudd","14","22103.5","8158.534321","2180.460015","1817371.218096"
"79","Machaerium myrianthum Spruce ex Benth.","21","24.180952","1.777813","0.387951","0.148009","Machaerium myrianthum Spruce ex Benth.","21","2448.666667","731.975432","159.730134","25830.767876","Machaerium myrianthum Spruce ex Benth.","21","1413.047619","143.798288","31.379359","1129.030122","Machaerium myrianthum Spruce ex Benth.","21","17512.809524","5060.252401","1104.237603","1211580.812064"
"80","Machaerium nigrum Vogel","8","21.6375","3.701713","1.308753","0.388524","Machaerium nigrum Vogel","8","972.875","188.860824","66.772385","67805.765674","Machaerium nigrum Vogel","8","1571.625","198.163668","70.061437","2963.704071","Machaerium nigrum Vogel","8","7042.875","2825.109325","998.826981","3180399.631668"
"81","Machaerium oblongifolium Vogel","19","23.089474","2.129396","0.488517","0.163589","Machaerium oblongifolium Vogel","19","1273.842105","407.894766","93.577477","28549.796073","Machaerium oblongifolium Vogel","19","1447.684211","201.288641","46.178781","1247.875398","Machaerium oblongifolium Vogel","19","8604.263158","3041.687577","697.810988","1339115.634386"
"82","Machaerium paraense Ducke","7","25.685714","0.477593","0.180513","0.444027","Machaerium paraense Ducke","7","2341.571429","436.691293","165.053794","77492.303628","Machaerium paraense Ducke","7","1566","55.217751","20.870348","3387.090366","Machaerium paraense Ducke","7","16375.285714","2168.653938","819.674143","3634742.436191"
"83","Machaerium parvifolium Killip ex Rudd","3","25.2","1.410674","0.814453","1.036064","Machaerium parvifolium Killip ex Rudd","3","4393.666667","2489.826567","1437.502039","180815.375131","Machaerium parvifolium Killip ex Rudd","3","1546","103.793063","59.924953","7903.210855","Machaerium parvifolium Killip ex Rudd","3","26656","12423.841475","7172.90822","8481065.684447"
