"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Mechanism"
"1636","Aristolochia passiflorifolia A.Rich.",5.69681,0.001988,2.5e-05,7.192954,0.112663,0.046471,7.517827,0.015362,0.003779,8.86227,0.112334,0.050435,"Mechanism_1"
"1637","Aristolochia peltata L.",5.703949,NA,7.4e-05,6.472346,NA,0.139413,7.541683,NA,0.011337,9.062884,NA,0.151306,"Mechanism_1"
"1638","Aristolochia pentandra Jacq.",5.694708,0.002471,6e-06,7.296778,0.086573,0.011618,7.43388,0.029398,0.001031,9.052862,0.107449,0.013755,"Mechanism_1"
"1639","Aristolochia physodes Ule",5.699607,NA,7.4e-05,7.154615,NA,0.139413,7.194437,NA,0.011337,9.147081,NA,0.151306,"Mechanism_1"
"1640","Aristolochia pilosa Kunth",5.691872,0.002078,1e-06,7.673894,0.052445,0.002582,7.310711,0.026268,0.00021,9.627116,0.055784,0.002802,"Mechanism_1"
"1641","Aristolochia pohliana Duch.",5.693461,0.001427,1.1e-05,6.77716,0.046504,0.019916,7.404765,0.017304,0.00162,8.650898,0.041366,0.021615,"Mechanism_1"
"1642","Aristolochia prostrata Duch.",5.670861,0.00956,1.2e-05,6.614911,0.106959,0.023235,7.467052,0.011297,0.00189,8.079727,0.086355,0.025218,"Mechanism_1"
"1643","Aristolochia pubescens Willd. ex Duch.",5.686123,0.003053,3.7e-05,6.866327,0.013028,0.069706,7.25691,0.0891,0.005669,8.681239,0.014937,0.075653,"Mechanism_1"
"1644","Aristolochia raja Mart. & Zucc.",5.694237,NA,7.4e-05,7.167038,NA,0.139413,7.266827,NA,0.011337,8.876684,NA,0.151306,"Mechanism_1"
"1645","Aristolochia ridicula N.E.Br.",5.699018,0.000903,9e-06,7.044978,0.038999,0.017427,7.424171,0.014628,0.001417,8.926885,0.040531,0.018913,"Mechanism_1"
"1646","Aristolochia ringens Vahl",5.689646,0.001153,2e-06,7.41998,0.053898,0.003031,7.322577,0.016314,0.000246,9.30848,0.05782,0.003289,"Mechanism_1"
"1647","Aristolochia robertii Ahumada",5.698602,NA,7.4e-05,7.013915,NA,0.139413,7.440734,NA,0.011337,8.716863,NA,0.151306,"Mechanism_1"
"1648","Aristolochia rugosa Lam.",5.697451,0.001281,5e-06,7.281333,0.078256,0.009294,7.365277,0.017532,0.000756,9.150754,0.072333,0.010087,"Mechanism_1"
"1649","Aristolochia schunkeana F.González",5.697708,0.000783,2.5e-05,7.839826,0.34092,0.046471,7.131587,0.076274,0.003779,10.082918,0.288477,0.050435,"Mechanism_1"
"1650","Aristolochia sepicola Mast.",5.701613,NA,7.4e-05,7.504392,NA,0.139413,7.451242,NA,0.011337,9.028699,NA,0.151306,"Mechanism_1"
"1651","Aristolochia sericea Blanco",5.670053,NA,7.4e-05,7.307202,NA,0.139413,7.398786,NA,0.011337,8.796641,NA,0.151306,"Mechanism_1"
"1652","Aristolochia setulosa A.A.M.Araújo",5.699584,0.004794,2.5e-05,6.973826,0.246975,0.046471,7.461785,0.059057,0.003779,8.743445,0.248155,0.050435,"Mechanism_1"
"1653","Aristolochia silvatica Barb.Rodr.",5.697964,0.000672,7e-06,7.797045,0.088833,0.013941,7.18083,0.027952,0.001134,9.893229,0.075093,0.015131,"Mechanism_1"
"1654","Aristolochia stahelii O.C.Schmidt",5.701279,NA,7.4e-05,8.135347,NA,0.139413,7.353722,NA,0.011337,9.870293,NA,0.151306,"Mechanism_1"
"1655","Aristolochia stevensii Barringer",5.675772,0.003276,2.5e-05,7.172207,0.050565,0.046471,7.401552,0.009292,0.003779,9.11497,0.052949,0.050435,"Mechanism_1"
"1656","Aristolochia stomachoides Hoehne",5.697978,0.000723,1.1e-05,7.390516,0.059408,0.019916,7.339928,0.013372,0.00162,9.310362,0.084856,0.021615,"Mechanism_1"
"1657","Aristolochia subglobosa J.Freitas, Lírio & F.González",5.695918,NA,7.4e-05,7.121252,NA,0.139413,7.202661,NA,0.011337,9.097508,NA,0.151306,"Mechanism_1"
"1658","Aristolochia taliscana Hook. & Arn.",5.699186,0.001255,6e-06,6.916895,0.053653,0.010724,7.525665,0.011648,0.000945,8.73656,0.08048,0.012609,"Mechanism_1"
"1659","Aristolochia tigrina A.Rich.",5.699607,NA,7.4e-05,7.307873,NA,0.139413,7.556951,NA,0.011337,8.756368,NA,0.151306,"Mechanism_1"
"1660","Aristolochia triangularis Cham.",5.687541,0.002275,1.5e-05,7.164685,0.070035,0.027883,7.26309,0.045089,0.002267,9.180436,0.069808,0.030261,"Mechanism_1"
"1661","Aristolochia trichostoma Griseb.",5.69659,NA,7.4e-05,6.846943,NA,0.139413,7.386471,NA,0.011337,9.335033,NA,0.151306,"Mechanism_1"
"1662","Aristolochia trilobata L.",5.699364,0.000789,2e-06,7.454911,0.099321,0.004225,7.413159,0.016447,0.000366,9.22276,0.092137,0.004881,"Mechanism_1"
"1663","Aristolochia urupaensis Hoehne",5.6979,0.001275,4e-06,7.445616,0.041706,0.007338,7.347648,0.008567,0.000597,9.269573,0.027314,0.007963,"Mechanism_1"
"1664","Aristolochia variifolia Duch.",5.687784,0.009355,1.5e-05,7.244936,0.082521,0.027883,7.460575,0.048766,0.002267,8.889577,0.076848,0.030261,"Mechanism_1"
"1665","Aristolochia warmingii Mast.",5.694514,0.002415,7e-06,7.184796,0.082074,0.012674,7.380846,0.022294,0.001031,9.042306,0.059011,0.013755,"Mechanism_1"
"1666","Aristolochia weddellii Duch.",5.697932,0.001006,3.7e-05,7.669273,0.048078,0.069706,7.320527,NA,0.011337,9.606563,NA,0.151306,"Mechanism_1"
"1667","Aristolochia wendeliana Hoehne",5.692384,0.000168,3.7e-05,7.175822,0.048931,0.069706,7.367705,0.002525,0.005669,8.967245,0.002933,0.075653,"Mechanism_1"
"1668","Aristolochia xerophytica R.E.Schult.",5.681733,0.006291,1.8e-05,6.627523,0.264257,0.034853,7.263211,0.038927,0.002834,8.559071,0.291177,0.037827,"Mechanism_1"
"1669","Aristolochia yungasensis Rusby",5.678636,NA,7.4e-05,6.887553,NA,0.139413,7.409742,NA,0.011337,8.882669,NA,0.151306,"Mechanism_1"
"1670","Aristolochia zebrina J.Freitas & F.González",5.69659,NA,7.4e-05,7.120444,NA,0.139413,7.20934,NA,0.011337,9.088399,NA,0.151306,"Mechanism_1"
"1671","Piper cingens C.DC.",5.687175,0.009087,2.5e-05,7.751489,0.372129,0.046471,7.168531,0.048969,0.003779,9.705616,0.311069,0.050435,"Mechanism_1"
"1672","Piper silvivagum C.DC.",5.695909,0.001279,6e-06,7.679966,0.082583,0.010724,7.276271,0.043332,0.000872,9.679887,0.099291,0.011639,"Mechanism_1"
